fid,class1,class2,subclass2,class3,croptyp2,partition
3,**,D,13,**,D13,34
4,**,D,13,**,D13,20
5,**,D,13,**,D13,37
6,**,D,13,**,D13,37
8,**,D,13,**,D13,42
9,**,D,13,**,D13,82
10,**,D,13,**,D13,10
11,**,D,13,**,D13,49
12,**,D,13,**,D13,92
14,**,D,13,**,D13,9
15,**,D,13,**,D13,12
16,**,D,13,**,D13,87
17,**,D,13,**,D13,12
18,**,D,13,**,D13,55
19,**,D,13,**,D13,18
20,**,D,13,**,D13,2
21,**,D,13,**,D13,68
22,**,D,13,**,D13,7
23,**,D,13,**,D13,78
24,**,D,13,**,D13,8
25,**,D,13,**,D13,25
28,**,D,13,**,D13,48
29,**,D,13,**,D13,16
30,**,D,13,**,D13,38
33,**,D,13,**,D13,19
34,**,D,13,**,D13,9
35,**,D,13,**,D13,27
36,**,D,13,**,D13,40
37,**,D,13,**,D13,44
38,**,D,13,**,D13,97
40,**,D,13,**,D13,79
42,**,D,13,**,D13,94
43,**,D,13,**,D13,40
44,**,D,13,**,D13,30
45,**,D,13,**,D13,18
46,**,D,13,**,D13,46
47,**,D,13,**,D13,84
48,**,D,13,**,D13,70
51,**,D,13,**,D13,37
52,**,D,13,**,D13,57
54,**,D,13,**,D13,12
55,**,D,13,**,D13,31
56,**,D,13,**,D13,82
57,**,D,13,**,D13,72
58,**,D,13,**,D13,76
60,**,D,13,**,D13,94
61,**,D,13,**,D13,88
62,**,D,13,**,D13,95
63,**,D,13,**,D13,42
64,**,D,13,**,D13,92
65,**,D,13,**,D13,66
66,**,D,13,**,D13,36
67,**,D,13,**,D13,91
68,**,D,13,**,D13,59
69,**,D,13,**,D13,15
70,**,D,13,**,D13,9
71,**,D,13,**,D13,92
72,**,D,13,**,D13,29
74,**,D,13,**,D13,70
75,**,D,13,**,D13,68
76,**,D,13,**,D13,94
77,**,D,13,**,D13,2
78,**,D,13,**,D13,52
82,**,D,13,**,D13,40
83,**,D,13,**,D13,17
84,**,D,13,**,D13,36
85,**,D,13,**,D13,76
86,**,D,13,**,D13,37
93,**,D,13,**,D13,30
95,**,D,13,**,D13,39
97,**,D,13,**,D13,2
98,**,D,13,**,D13,81
99,**,D,13,**,D13,38
101,**,D,13,**,D13,97
104,**,D,13,**,D13,9
105,**,D,13,**,D13,60
106,**,D,13,**,D13,84
108,**,D,13,**,D13,54
109,**,D,13,**,D13,77
110,**,D,13,**,D13,95
111,**,D,13,**,D13,97
112,**,D,13,**,D13,95
113,**,D,13,**,D13,68
114,**,D,13,**,D13,83
115,**,D,13,**,D13,85
116,**,D,13,**,D13,43
117,**,D,13,**,D13,92
118,**,D,13,**,D13,14
119,**,D,13,**,D13,2
120,**,D,13,**,D13,100
121,**,D,13,**,D13,20
122,**,D,13,**,D13,23
123,**,D,13,**,D13,66
124,**,D,13,**,D13,96
125,**,D,13,**,D13,52
126,**,D,13,**,D13,93
127,**,D,13,**,D13,42
128,**,D,13,**,D13,1
129,**,D,13,**,D13,15
130,**,D,13,**,D13,97
131,**,D,13,**,D13,58
132,**,D,13,**,D13,57
133,**,D,13,**,D13,5
134,**,D,13,**,D13,77
135,**,D,13,**,D13,79
136,**,D,13,**,D13,55
137,**,D,13,**,D13,36
138,**,D,13,**,D13,37
139,**,D,13,**,D13,58
140,**,D,13,**,D13,92
141,**,D,13,**,D13,61
142,**,D,13,**,D13,7
143,**,D,13,**,D13,74
144,**,D,13,**,D13,35
145,**,D,13,**,D13,58
146,**,D,13,**,D13,60
147,**,D,13,**,D13,45
148,**,D,13,**,D13,90
149,**,D,13,**,D13,24
150,**,D,13,**,D13,43
151,**,D,13,**,D13,45
152,**,D,13,**,D13,50
153,**,D,13,**,D13,40
154,**,D,13,**,D13,10
155,**,D,13,**,D13,48
156,**,D,13,**,D13,58
157,**,D,13,**,D13,56
158,**,D,13,**,D13,30
159,**,D,13,**,D13,29
160,**,D,13,**,D13,97
161,**,D,13,**,D13,17
162,**,D,13,**,D13,56
163,**,D,13,**,D13,2
164,**,D,13,**,D13,20
165,**,D,13,**,D13,58
166,**,D,13,**,D13,62
167,**,D,13,**,D13,16
168,**,D,13,**,D13,31
169,**,D,13,**,D13,36
170,**,D,13,**,D13,64
171,**,D,13,**,D13,72
172,**,D,13,**,D13,52
173,**,D,13,**,D13,64
