fid,gndvi_1,gndvi_2,gndvi_3,gndvi_4,gndvi_5,gndvi_6,gndvi_7
3,0.270065496,0.148137338,0.168063936,0.434202173,0.372805268,0.340212551,0.278463494
4,0.253603853,0.209052297,0.228783859,0.341992204,0.282360018,0.251070314,0.196184519
5,0.265200601,0.18656318,0.206143476,0.35183687,0.305190447,0.268367324,0.214434486
6,0.194078827,0.20773394,0.231479979,0.256450328,0.238974368,0.225718947,0.194309693
8,0.239533524,0.22871185,0.274520188,0.363267195,0.318976066,0.263131842,0.201759263
9,0.265950657,0.16604992,0.17876583,0.386178001,0.343651116,0.311001089,0.248173026
10,0.26837797,0.158599311,0.171750432,0.410780402,0.356554173,0.30675788,0.206033583
11,0.223099673,0.232240951,0.221460276,0.298097675,0.274730112,0.26083575,0.216823948
12,0.282873706,0.151136841,0.17092581,0.432616007,0.379582294,0.339430404,0.273764178
14,0.207443006,0.168908108,0.152850225,0.2903902,0.256950856,0.23573167,0.188704574
15,0.266057473,0.126486308,0.146316566,0.422850301,0.356106935,0.304258808,0.199711928
16,0.208856774,0.170044868,0.152220104,0.297456389,0.271887482,0.24300578,0.176378317
17,0.248147795,0.210890143,0.232672277,0.342167472,0.28103756,0.2477569,0.19341434
18,0.213251858,0.148208995,0.175147392,0.314390144,0.280111245,0.251436436,0.195702153
19,0.227726491,0.186028063,0.203988633,0.350022567,0.299287023,0.257621111,0.193504309
20,0.285461623,0.173586925,0.174642773,0.388836808,0.341801372,0.301841663,0.231193825
21,0.205712904,0.146460737,0.156039776,0.27374173,0.2466477,0.224301044,0.191663313
22,0.214652841,0.148804381,0.150905021,0.322394931,0.285467645,0.260870432,0.181099859
23,0.239833728,0.145848342,0.151135265,0.351894454,0.307802502,0.273220533,0.207826887
24,0.231364414,0.230913397,0.243526381,0.308826797,0.303251028,0.257359121,0.186365038
25,0.207560716,0.150084189,0.153905654,0.26047702,0.242229857,0.227273686,0.193358116
28,0.263341823,0.138579051,0.13695935,0.42779747,0.364972572,0.324531556,0.22554802
29,0.239500499,0.226187521,0.326832694,0.357988065,0.282920206,0.246732578,0.192164108
30,0.19264971,0.154152533,0.160166714,0.24293851,0.240257031,0.233050996,0.181612724
33,0.277120633,0.243972924,0.233662484,0.322937021,0.266898233,0.260280692,0.202360871
34,0.26218032,0.152594589,0.175143875,0.417573422,0.301152288,0.273513125,0.215668203
35,0.23311607,0.152250488,0.16666912,0.399313479,0.339094146,0.297014629,0.206218993
36,0.266054219,0.213268211,0.241408445,0.370962225,0.342625946,0.282065222,0.220457046
37,0.222514067,0.159506306,0.205561406,0.311485328,0.268206462,0.262798045,0.203979009
38,0.25199858,0.194871887,0.201450612,0.353650061,0.319716118,0.276515287,0.211897143
40,0.236897303,0.150732313,0.172779579,0.362011251,0.323254582,0.293125319,0.210156534
42,0.242495821,0.268954429,0.325897775,0.380330306,0.346227032,0.288685273,0.225215374
43,0.223084984,0.188425981,0.203732138,0.341597255,0.324894476,0.260893576,0.199521288
44,0.252828994,0.181575234,0.228159912,0.382050794,0.346672618,0.289994391,0.214727263
45,0.277329851,0.159080387,0.181315569,0.338086158,0.307779026,0.287972578,0.234657148
46,0.220167844,0.173036191,0.233033986,0.311841908,0.275022783,0.273321059,0.204380325
47,0.233590239,0.153591753,0.159223961,0.346356579,0.298077084,0.269917207,0.191670531
48,0.244445315,0.173628589,0.216441844,0.360208962,0.32393218,0.290283084,0.214639842
51,0.19231398,0.311678153,0.283831358,0.297724518,0.254262617,0.227489456,0.182900404
52,0.256324416,0.157136624,0.1538423,0.397208792,0.340741654,0.298472092,0.204699242
54,0.265841749,0.212064749,0.200093143,0.358397925,0.305504051,0.269618409,0.226458932
55,0.250604285,0.145759354,0.156530615,0.360720425,0.315239524,0.285733414,0.220782855
56,0.217427396,0.181088552,0.186877916,0.316314973,0.275888808,0.24442366,0.193941137
57,0.164469847,0.154615483,0.158285995,0.170643038,0.193239023,0.202654443,0.181545029
58,0.258564833,0.185984123,0.219376356,0.324755778,0.330853298,0.264959541,0.221690097
60,0.26824619,0.191490871,0.192109373,0.394646156,0.337294441,0.298251807,0.234778043
61,0.174481285,0.14579995,0.145251959,0.178304377,0.180041939,0.189705501,0.157773833
62,0.249660837,0.149422558,0.180064605,0.378292533,0.319173053,0.274570531,0.203174909
63,0.22427899,0.178546332,0.182594992,0.3093834,0.27993001,0.250110202,0.188594997
64,0.219888795,0.130346039,0.138931377,0.312547198,0.28617805,0.250420384,0.19073287
65,0.261640965,0.122891472,0.146258032,0.427347138,0.359538118,0.300796423,0.204490786
66,0.259269914,0.176205464,0.171503779,0.378065417,0.338236098,0.294213228,0.225806772
67,0.231109739,0.141068671,0.14828144,0.35754097,0.319633464,0.281173313,0.219110112
68,0.257086458,0.127964565,0.145897835,0.39676602,0.334978605,0.275352781,0.201850837
69,0.27148068,0.155939477,0.17342882,0.403783635,0.307204311,0.267766644,0.213469134
70,0.276524141,0.154799849,0.197896383,0.400772125,0.341977244,0.297012967,0.22339641
71,0.269686205,0.170964076,0.187170336,0.386054003,0.347725467,0.310145758,0.241070891
