fid,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7
3,0.193586566,-0.013946498,-0.00747654,0.378582239,0.307558918,0.281873321,0.236672736
4,0.151979416,0.057269124,0.046523865,0.223603891,0.188812757,0.132984182,0.121218351
5,0.180413302,0.058134401,0.061342373,0.293724227,0.22453724,0.182441374,0.16824735
6,0.013131413,0.053998286,0.058623148,0.066192251,0.044597275,0.044978011,0.0468614
8,0.129812431,0.095336491,0.136841517,0.274934615,0.225780702,0.158051186,0.145095001
9,0.207021492,0.020815262,0.056228351,0.316902448,0.285165106,0.241413048,0.200090325
10,0.199015977,0.017115064,0.002524621,0.346234972,0.295052794,0.232824142,0.166088517
11,0.075709584,0.103342294,0.044140887,0.138600671,0.113831963,0.105592497,0.094896947
12,0.215216123,0.004759163,0.005038288,0.388167381,0.322504601,0.289258293,0.238036462
14,0.032328493,-0.013496961,-0.061569123,0.125689677,0.095795963,0.07727306,0.05894227
15,0.199230668,-0.014175295,-0.014827458,0.373852907,0.302829633,0.248291742,0.155996777
16,0.088121667,0.011377466,-0.039895021,0.155400639,0.12917911,0.104257204,0.09693887
17,0.145978449,0.060740529,0.053293348,0.225122259,0.191173622,0.125581729,0.112931137
18,0.091508026,-0.044166452,-0.00286272,0.17721165,0.140960309,0.121743429,0.112418729
19,0.119420433,0.042450645,0.047366934,0.285890949,0.196964304,0.152898739,0.123061813
20,0.207978405,0.021536266,0.01467706,0.305144934,0.256705299,0.22926819,0.184309083
21,0.043919752,-0.050594938,-0.054783505,0.162591258,0.092103054,0.112342471,0.080484836
22,0.091238078,-0.02257802,-0.030561045,0.193301211,0.152515719,0.138756224,0.110815749
23,0.156109576,-0.013381908,-0.016407318,0.261111975,0.219192311,0.181452951,0.14455324
24,0.097064398,0.083374962,0.086681245,0.157828905,0.172095522,0.118398035,0.098325934
25,0.023453135,-0.085988251,-0.056612025,0.059535705,0.070968104,0.058128681,0.065734064
28,0.184735086,-0.016366464,-0.059141852,0.388111393,0.311756233,0.271939018,0.192495227
29,0.118987885,0.115351087,0.199261105,0.267838511,0.177126288,0.14128927,0.126519553
30,0.015821752,-0.052653635,-0.06223803,0.048601147,0.061548275,0.061288718,0.046953179
33,0.185402767,0.097454596,0.054474703,0.194153451,0.151213747,0.17934817,0.159797134
34,0.194953821,-0.013946387,-0.004024817,0.370710303,0.234368753,0.210740823,0.175471641
35,0.15850307,-0.021037219,0.001397105,0.335653451,0.269475365,0.227210055,0.163324204
36,0.179509643,0.09576574,0.096425954,0.278967599,0.263913052,0.199139198,0.164933759
37,0.09974622,-0.019249569,0.062531845,0.167468822,0.109114878,0.135319053,0.098045274
38,0.137130327,0.055043003,0.037641822,0.250800443,0.220729098,0.180899749,0.148767633
40,0.15007353,0.023169577,0.018264983,0.27785401,0.240456754,0.212628176,0.154303972
42,0.142876919,0.158043415,0.211057141,0.309263408,0.269942392,0.200496306,0.17965991
43,0.129433265,0.020216873,0.030328208,0.225993075,0.233076693,0.148149394,0.124041948
44,0.166414957,0.024425378,0.066190349,0.285506857,0.260463106,0.210408318,0.16763108
45,0.207398934,-0.03796909,-0.001269541,0.221900871,0.207235212,0.20397247,0.214078934
46,0.096760682,0.011445849,0.086858258,0.15653164,0.121115652,0.147736003,0.093099053
47,0.115692582,-0.006314566,-0.027390598,0.236472733,0.189938854,0.167680412,0.148078195
48,0.139597316,0.008275149,0.051748308,0.249399726,0.211740963,0.183209721,0.149972748
51,0.033821975,0.224479245,0.133464391,0.146051412,0.088638157,0.075930853,0.062378877
52,0.162285832,-0.009251081,-0.037032567,0.311159189,0.250867602,0.208813953,0.132496248
54,0.1810198,0.079867522,0.043413956,0.287898283,0.231842173,0.186114248,0.186913752
55,0.167672674,-0.012824175,-0.006972056,0.261330315,0.231275787,0.19651213,0.161745355
56,0.087031798,0.049885249,0.02570362,0.189163366,0.140742029,0.117827616,0.128192098
57,0.009390877,0.010108007,0.02544825,0.04420068,-0.003570407,0.012065676,0.031238269
58,0.184171461,0.042744817,0.06987768,0.231117871,0.241074307,0.1688708,0.152136466
60,0.193312043,0.051495976,0.024255223,0.32354971,0.265952997,0.230243022,0.186915841
61,-0.015454157,-0.083392357,-0.068174431,-0.034035637,-0.004153113,-0.028299933,0.017728069
62,0.168906623,-0.016873056,0.029856407,0.289250834,0.229009657,0.193686635,0.154620128
63,0.099893302,0.039426701,0.017397415,0.176479463,0.129169483,0.115864981,0.130025947
64,0.097716165,-0.040618248,-0.072527966,0.161711373,0.134328833,0.119343112,0.11786071
65,0.191426322,-0.02252152,-0.019847089,0.379423102,0.306469831,0.241813987,0.15629352
66,0.163327413,0.029583838,0.053969719,0.300902668,0.258248623,0.218286748,0.174804581
67,0.126415283,-0.042950916,-0.063593381,0.240545816,0.225578064,0.194660966,0.146641374
68,0.162044402,-0.048691859,-0.017484442,0.32876098,0.257396773,0.191545593,0.134980776
69,0.205341291,-0.014515988,-0.014534813,0.349174918,0.237133256,0.199932526,0.166429013
70,0.209736887,-0.01478326,0.045273735,0.325469024,0.262577129,0.227594675,0.182579423
71,0.204924865,0.027646053,0.053958946,0.313655787,0.269915938,0.238340759,0.193767311
72,0.124721289,0.00678435,0.017203262,0.256439545,0.196101661,0.162213553,0.120723068
74,-0.02933913,0.062831635,0.04941705,-0.052736751,-0.023421923,0.000952982,0.031375691
75,-0.066406947,-0.008039009,-0.026925152,0.002826316,-0.00437277,0.00838907,0.04540598
76,0.198038869,0.003800615,-0.014913433,0.373004141,0.253922433,0.234252926,0.204302845
77,-0.066831008,-0.040496196,-0.030898985,-0.062707031,-0.008870368,0.006993592,0.036695925
78,0.065710888,-0.037008708,-0.02014583,0.184420739,0.129478823,0.099952495,-0.019301549
82,0.172959924,0.068100046,0.061603162,0.256161815,0.213460591,0.19162264,0.167239792
83,0.115563837,0.053265132,0.057810495,0.234441841,0.177322093,0.168450062,0.118059805
84,0.037287926,0.005951216,0.010007764,0.097955883,0.047389414,0.037296947,0.039120365
85,0.133793915,-0.024809471,-0.032562967,0.234795105,0.246430688,0.205683559,0.140977031
86,0.158853226,0.011584729,-0.001994224,0.271355463,0.208883305,0.218928891,0.188808846
93,0.060817979,-0.022565217,-0.041673228,0.163455305,0.072946449,0.092477102,0.051969746
95,0.042940862,-0.000718617,-0.000753843,0.120039964,0.095278503,0.107283129,0.076815841
97,0.155360582,0.009639094,0.044609696,0.207644933,0.216449659,0.163666182,0.132663799
98,0.171265703,0.166774092,0.108792008,0.220330706,0.214426558,0.187412591,0.164622128
99,0.104873049,0.126737122,0.041430589,0.152042155,0.073546343,0.125059086,0.08355256
101,0.081965253,0.295222625,0.20747976,0.077348176,0.136997173,0.107854329,0.068078178
104,0.099006005,-0.02092677,-0.072248237,-0.076217288,-0.056626868,-0.051914038,-0.045667432
105,0.034693442,-0.068770552,-0.045912227,0.109606813,0.083722618,0.067189269,0.05470749
106,0.060105253,-0.008852015,-0.05126715,0.155178316,0.11215624,0.060799626,0.072616914
108,0.048568902,0.214697218,0.203952676,0.034991957,0.026485923,0.020447713,0.028561571
109,0.032824234,0.066633491,0.080967211,0.042534713,0.118729828,0.042349407,0.043788616
110,0.168621733,0.040355108,0.03897374,0.321571084,0.218782837,0.119695615,0.085463197
111,0.102206154,0.325031191,0.250010216,-0.044219797,-0.035178179,-0.040097548,-0.035165857
112,-0.006563832,0.203857324,0.128450959,0.010845514,0.039953759,0.028325862,0.01975136
113,-0.001264587,-0.07137909,-0.050432339,0.044702133,0.043094836,0.105062167,0.059984762
114,-0.025691609,0.119901821,0.103919509,0.013454601,0.06978675,0.082446858,0.057538775
115,-0.086272162,-0.074180157,-0.058245303,0.017963366,0.01286152,-0.001863453,-0.001573241
116,0.055396787,0.199301635,-0.039726989,0.159248786,0.121517058,0.137669902,0.117971007
117,0.14387032,0.046761056,0.06300625,0.295954464,0.234146632,0.185996873,0.148773957
118,0.154835893,0.015589879,-0.018839297,0.219440527,0.17949991,0.199059352,0.165495519
119,0.194202231,0.011211083,0.029460709,0.351209241,0.264582074,0.191157803,0.160501566
120,0.167722437,-0.035428293,-0.022453747,0.356348408,0.246599039,0.153131807,0.12675973
121,0.062261201,0.036303552,0.029712559,0.209618182,0.157410568,0.129627452,0.124178749
122,0.170780044,0.054553358,0.040436181,0.264947465,0.238950823,0.225792076,0.176308391
123,0.169476168,0.025575547,0.103384347,0.304961756,0.237295218,0.231193539,0.197338452
124,0.183600808,0.167415017,0.178388681,0.309540687,0.276018993,0.211629039,0.158849855
125,0.170391565,0.027268889,-0.00343857,0.279481688,0.226107413,0.198168908,0.15917003
126,0.194903759,0.00421465,-0.02836207,0.334431143,0.274677284,0.248366424,0.171363857
127,0.1268013,0.208354795,0.121380291,0.243837162,0.194311156,0.166705376,0.15286419
128,0.093730996,-0.014577648,-0.004750101,0.175815192,0.115636461,0.129814583,0.11829567
129,0.17812006,0.013432189,-0.04588487,0.295971409,0.260877505,0.2158882,0.181374911
130,0.13502465,0.068367373,0.080439834,0.257268805,0.184652381,0.147803888,0.132006593
131,0.173808895,-0.052453787,-0.061581086,0.295592964,0.263438162,0.231895052,0.187611946
132,0.171268572,0.040274126,-0.008520159,0.306348591,0.248519443,0.206941236,0.171200126
133,0.170518062,-0.008382959,-0.028881931,0.292866333,0.247539921,0.21059109,0.185109315
134,0.179364112,0.013226013,0.015789836,0.364678185,0.307426202,0.266513404,0.214654563
135,0.137511813,0.05541507,0.055033747,0.342364565,0.264744436,0.198541818,0.154011108
136,0.202887465,-0.022875863,-0.029186996,0.374064999,0.305302885,0.25790648,0.1938989
137,0.220114314,-0.023472159,0.023563184,0.33771971,0.289616731,0.266047791,0.221656995
138,0.148426407,-0.05242103,-0.020350959,0.239554613,0.192150749,0.19050972,0.12314822
139,0.163367455,0.124998784,0.032123268,0.293117914,0.234094885,0.181134758,0.125363175
140,0.123228844,-0.010154668,0.002946845,0.215938842,0.195637399,0.161213439,0.116917093
141,0.132384536,0.029347526,-0.01628452,0.287524535,0.260733461,0.238316729,0.166786685
142,0.245918427,0.020622834,0.093727886,0.376236287,0.229678676,0.218278898,0.193774384
143,0.162655154,-0.009328669,-0.015057354,0.366517208,0.268201222,0.225991711,0.181410562
144,0.117347204,0.155236131,0.217877101,0.306261807,0.26652853,0.262266476,0.182245043
145,0.0589815,0.026068868,0.134205736,0.167254678,0.137048185,0.137234091,0.098677713
146,0.232605276,-0.029253432,-0.037776447,0.372114977,0.306980599,0.272976876,0.221843419
147,0.148522947,-0.007483813,-0.001769571,0.374246498,0.239865908,0.165495826,0.137724191
148,0.223719879,-0.008602267,-0.038781975,0.355664059,0.311245981,0.314225704,0.253201934
149,0.145650629,0.006153855,0.037022109,0.323026581,0.249406659,0.18136626,0.129168218
150,0.148005881,-0.021069759,0.052176432,0.272488141,0.226299728,0.19470119,0.150959108
151,0.20577765,-0.01298443,-0.000687012,0.352717631,0.285274686,0.261287436,0.191886597
152,0.142324483,-0.029162005,-0.027788579,0.277306846,0.234688805,0.20466519,0.169857939
153,0.058371739,0.225755318,0.169420199,0.025145304,0.063089521,0.06292025,0.070537426
154,0.174059285,0.09411677,0.151484298,0.32357992,0.273792722,0.253444821,0.205569314
155,0.232875154,-0.016268095,0.013376778,0.365777379,0.313497063,0.252100715,0.199741255
