fid,ndmi_1,ndmi_2,ndmi_3,ndmi_4,ndmi_5,ndmi_6,ndmi_7
3,0.091076997,-0.086884446,-0.083409755,0.256727649,0.18196704,0.161659938,0.122547156
4,0.061019638,-0.023138355,-0.023743563,0.125978323,0.090694993,0.042251798,0.035008108
5,0.084652221,-0.028734612,-0.010698022,0.185994489,0.112948437,0.078708502,0.072361922
6,-0.054372409,-0.026233593,-0.012041638,-0.008168061,-0.046063216,-0.042108286,-0.035517281
8,0.034340862,0.00316984,0.060013012,0.16444127,0.106897622,0.046198821,0.041661772
9,0.112318163,-0.052717658,-0.008153425,0.203153348,0.165736453,0.127844045,0.096197399
10,0.094064952,-0.065835052,-0.072980889,0.220064677,0.165639011,0.110946238,0.059848242
11,-0.011181657,0.006581438,-0.036606338,0.041817428,0.000466021,-0.003203728,-0.005065882
12,0.109792921,-0.070546941,-0.072175004,0.266352486,0.195280399,0.168485993,0.125177148
14,-0.028844093,-0.085117598,-0.106241371,0.04368109,0.006462837,-0.010479076,-0.019394484
15,0.091073116,-0.069263103,-0.07708244,0.248459766,0.173693318,0.130186285,0.054896266
16,0.009580603,-0.0557468,-0.099417873,0.078712877,0.038654292,0.016261255,0.013075368
17,0.054570928,-0.019303293,-0.016207956,0.126483915,0.092341158,0.035207919,0.026715357
18,0.010718645,-0.112814362,-0.069768174,0.087002687,0.035174814,0.020951422,0.018047566
19,0.026334735,-0.035190495,-0.021808088,0.175045224,0.085755649,0.047606855,0.026732575
20,0.103748118,-0.062649738,-0.058243364,0.18853638,0.132909697,0.111497564,0.077887221
21,-0.022772039,-0.11275567,-0.109845417,0.069099572,0.002029739,0.024573766,-0.001324609
22,0.009607621,-0.08934326,-0.08978112,0.103527867,0.059904142,0.04595189,0.025849042
23,0.066523219,-0.080431222,-0.075429588,0.161125936,0.114021868,0.079723446,0.05253779
24,0.018145755,-0.001749214,0.014012497,0.07683514,0.073147904,0.031158628,0.0135208
