fid,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7
3,0.2703061,0.134268583,0.150108254,0.458885323,0.387907095,0.352453233,0.307599406
4,0.247082381,0.203465421,0.204949425,0.347196497,0.284839102,0.247847688,0.232096666
5,0.265456024,0.180783445,0.191668728,0.3731163,0.316680115,0.273161078,0.248166748
6,0.166174542,0.199176473,0.209665302,0.240638497,0.208514808,0.203019572,0.182822396
8,0.232041573,0.229937291,0.271284391,0.379215713,0.325429297,0.258969076,0.231037104
9,0.266034576,0.152444963,0.157408691,0.4072314,0.355381121,0.31693793,0.268762046
10,0.273408894,0.153513089,0.15562961,0.438672383,0.375663582,0.316830123,0.25097114
11,0.209568869,0.221243843,0.200394486,0.295944151,0.258046831,0.249012826,0.217195239
12,0.284815985,0.137213113,0.154912515,0.45862461,0.397252036,0.350868934,0.301371315
14,0.183290862,0.152366468,0.119252032,0.2865855,0.2447883,0.218745432,0.190897924
15,0.267579282,0.113363285,0.124428234,0.453066653,0.378587475,0.319801012,0.233300615
16,0.19722217,0.16316631,0.123155556,0.294826205,0.262614858,0.233551842,0.202707644
17,0.240638521,0.205414517,0.208991878,0.347999644,0.283388951,0.242394145,0.226302644
18,0.202877973,0.123885036,0.151496856,0.316178062,0.271736928,0.244560198,0.210221105
19,0.221275034,0.185596993,0.19090307,0.369582271,0.304864816,0.260078131,0.220831517
20,0.289671819,0.166948614,0.156996199,0.409052359,0.354994446,0.309417669,0.26854162
21,0.183263299,0.129401446,0.12642714,0.257793686,0.230937886,0.217507737,0.19812465
22,0.201207644,0.134792274,0.127018728,0.325289379,0.279356314,0.254549131,0.2080361
23,0.238417431,0.131874645,0.129535377,0.370044575,0.315795155,0.276127892,0.235181581
24,0.222332422,0.224264789,0.231326077,0.302145079,0.300875299,0.247023471,0.200353358
25,0.171953665,0.118353631,0.117404188,0.236666349,0.215833898,0.206775891,0.192673931
28,0.264790829,0.123318292,0.119882036,0.460631095,0.386409965,0.341060821,0.269061961
29,0.229564494,0.234251735,0.334583068,0.373692083,0.285787594,0.241528064,0.219458058
30,0.165804192,0.129084383,0.121456711,0.217984819,0.215272281,0.206759554,0.184961626
33,0.278965957,0.247508965,0.215195376,0.317770587,0.263496339,0.267100508,0.248401241
34,0.265301897,0.138838317,0.154299148,0.443836531,0.314909532,0.286307408,0.254062802
35,0.237004228,0.140517951,0.150189141,0.425539968,0.35803101,0.309413322,0.247354226
36,0.261917931,0.216990317,0.232527482,0.387244429,0.35276097,0.284250656,0.247147342
37,0.215140761,0.142437433,0.198503023,0.313887177,0.25888564,0.259767404,0.216229734
38,0.244710558,0.192312737,0.180420114,0.364532684,0.325013052,0.277396927,0.236399165
40,0.232329925,0.141720026,0.153878405,0.376269511,0.328458688,0.296340218,0.244966947
42,0.237932356,0.281009416,0.33659671,0.400942669,0.359685739,0.291647716,0.263418364
43,0.215052377,0.173768438,0.186291701,0.351788603,0.334571302,0.258872672,0.222094667
44,0.25184649,0.172864035,0.218009894,0.39972432,0.358245781,0.295874213,0.244980217
45,0.277216723,0.130113388,0.140816407,0.340340733,0.309713234,0.287467123,0.264764747
46,0.213559643,0.1653211,0.232059716,0.313065941,0.268566472,0.267983602,0.21432257
47,0.225415965,0.145110306,0.13731708,0.358254351,0.301455335,0.270803758,0.227121347
48,0.238295789,0.162014372,0.204472743,0.37231198,0.328963989,0.290526769,0.252087488
51,0.171839846,0.335931676,0.273060753,0.293213058,0.236668792,0.213915139,0.190214861
52,0.254584798,0.144605669,0.125736025,0.415744093,0.349015189,0.302638908,0.238566076
54,0.266462207,0.207495075,0.183937276,0.376818647,0.317387627,0.274933965,0.264955962
55,0.249865132,0.134744054,0.139442079,0.378559749,0.325652007,0.2904071,0.247293304
56,0.203669846,0.173617427,0.168822865,0.306360782,0.264631831,0.233656829,0.215282254
57,0.131102637,0.136008265,0.135432458,0.138222418,0.152556337,0.170276683,0.173660413
58,0.257215888,0.176608575,0.211479574,0.333829151,0.336595986,0.264558179,0.237506661
60,0.272544302,0.186500686,0.178023183,0.418280477,0.353349083,0.307535326,0.265526727
61,0.139834568,0.119359257,0.110048021,0.140524236,0.152414939,0.158923567,0.156318515
62,0.246691729,0.134122563,0.154732352,0.388477281,0.323797866,0.274733595,0.229827765
63,0.216057632,0.166102882,0.162703641,0.303043105,0.270773619,0.243786372,0.206586774
64,0.213560797,0.116884588,0.107976922,0.315650347,0.28687676,0.250660937,0.21780398
65,0.263187721,0.109933505,0.123138083,0.456852289,0.381730796,0.314908058,0.235576705
66,0.258234689,0.170064666,0.157001609,0.399618594,0.350655187,0.302763552,0.260709743
