fid,savi_1,savi_2,savi_3,savi_4,savi_5,savi_6,savi_7
3,0.405450963,0.20139836,0.225157681,0.688317148,0.581850701,0.528670386,0.461390322
4,0.370616277,0.305192117,0.307418706,0.520785943,0.427250477,0.371764386,0.348137894
5,0.39817625,0.271169471,0.28749752,0.559664417,0.475011293,0.409733687,0.37224259
6,0.249257108,0.298758929,0.314492476,0.360951399,0.312766925,0.30452397,0.274228574
8,0.348055514,0.34489923,0.406919274,0.568813888,0.488135229,0.388446229,0.346548619
9,0.399044153,0.228662601,0.236108398,0.610836954,0.533062191,0.475398146,0.403135236
10,0.410105341,0.230264725,0.233439879,0.657998059,0.563485717,0.475236511,0.376449159
11,0.314347146,0.331859536,0.300586249,0.443908292,0.387063509,0.373512518,0.325786715
12,0.42721544,0.205815003,0.232363876,0.687925947,0.595867854,0.52629395,0.45204825
14,0.274931065,0.228545251,0.178874642,0.429870825,0.367175859,0.328112195,0.28634146
15,0.401361089,0.170040972,0.186638449,0.679589178,0.567871194,0.479692366,0.349943587
16,0.295827204,0.244744362,0.184729731,0.442231438,0.393915186,0.350321113,0.304055185
17,0.36095062,0.308115693,0.313482291,0.521990593,0.42507524,0.363584256,0.339447099
18,0.304310795,0.185823808,0.227241109,0.474258951,0.407598108,0.366833388,0.31532535
19,0.331905796,0.278389654,0.286348978,0.554363694,0.457288907,0.390109631,0.331240571
20,0.434499476,0.250417709,0.235489642,0.61356848,0.532482392,0.464117877,0.402804475
21,0.274889796,0.194098345,0.189637298,0.386683898,0.346400698,0.326255211,0.297181295
22,0.301805548,0.20218421,0.190524379,0.487925665,0.419027074,0.381816539,0.312047776
23,0.357618997,0.197807683,0.1942991,0.555057477,0.473684238,0.414184091,0.352765404
24,0.333492368,0.336390771,0.346983112,0.453210115,0.45130533,0.370528646,0.30052416
25,0.257925924,0.177526821,0.176103028,0.354993354,0.323745156,0.310158171,0.289005434
28,0.397178342,0.184973334,0.179819115,0.690935721,0.579605002,0.511581876,0.403584692
29,0.344339979,0.351370773,0.501866144,0.560528797,0.428673601,0.362285209,0.329180384
30,0.248701531,0.193622825,0.182181743,0.326971722,0.322902846,0.310133672,0.27743707
33,0.418440899,0.371256389,0.322787251,0.476647839,0.395237009,0.400642653,0.372594199
34,0.397944634,0.208252866,0.231444091,0.665743949,0.47235502,0.429452301,0.381085994
35,0.35549868,0.210772355,0.225279191,0.638299381,0.537036804,0.46411101,0.37102361
36,0.39286952,0.325478907,0.348784958,0.580857024,0.529132494,0.426368299,0.370713815
37,0.322704537,0.21365171,0.297748625,0.47082261,0.388321539,0.389643845,0.324338
38,0.367058766,0.28846321,0.270625151,0.546789683,0.487510941,0.416087497,0.354591708
40,0.348487817,0.212575352,0.230813049,0.564394865,0.492679202,0.444502111,0.367443085
42,0.356891467,0.421506058,0.504886176,0.601403937,0.539519125,0.437463356,0.395119604
43,0.322571851,0.260647321,0.279432237,0.527673826,0.501848087,0.388301462,0.333135141
44,0.377762449,0.259290896,0.327009047,0.599576703,0.537359603,0.443803255,0.367463122
45,0.415816988,0.195166102,0.211220851,0.510502374,0.464561471,0.43119267,0.397139156
46,0.320332912,0.247976473,0.34808286,0.469590792,0.402842503,0.401968038,0.321477392
47,0.33811729,0.217660912,0.205971568,0.537372263,0.452174963,0.406198009,0.340674919
48,0.357436527,0.243016577,0.306703325,0.558458492,0.493437324,0.435782056,0.378123572
51,0.257754675,0.503888408,0.409583986,0.439811736,0.354996771,0.320866549,0.285316729
52,0.381869626,0.216903884,0.188600282,0.623606053,0.52351368,0.453949974,0.357841957
54,0.39968546,0.311236371,0.275900542,0.565218038,0.476072382,0.412392875,0.397425913
55,0.374790366,0.202111746,0.20915891,0.567830002,0.488469134,0.435602587,0.370932636
56,0.305498958,0.260420929,0.253229625,0.45953372,0.39694093,0.35047903,0.322917218
57,0.196650219,0.204009008,0.203145361,0.207329825,0.228830987,0.255410899,0.260485999
58,0.385816303,0.264907342,0.317213332,0.500734969,0.504885346,0.396829795,0.356253123
60,0.408808331,0.279745176,0.267029409,0.627410281,0.53001424,0.461294317,0.398282116
61,0.209748226,0.179035531,0.165069041,0.210782849,0.228618157,0.238381202,0.234473259
62,0.370030313,0.201179626,0.232094437,0.582706509,0.485688222,0.412092681,0.344734973
63,0.324080199,0.249149218,0.244050883,0.454556987,0.406153306,0.365672983,0.309874289
